MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err
57982.730518514894	GFC_i	3.1378014565130917e-16	3.1378014565130914e-17	SUDO_PTS	SUDO_PTS	0.20199999489705078	-0.6946486415245778	-15.50337453973847	0.043429448190325175
57982.529818519964	GFC_y	1.6320028264284405e-18	3.599581453675455e+52	SUDO_PTS	SUDO_PTS	0.0012999999671592377	-2.886056658664365	-17.78727909343681	9.578894945382509e+69
57982.5364185198	GFC_y	9.716495014922249e-18	1.9780313857007237e+53	SUDO_PTS	SUDO_PTS	0.007899999800429214	-2.1023729196807603	-17.01249036780959	8.841131648006523e+69
57982.543218519626	GFC_y	1.7696736155673512e-17	3.3304296886630517e+53	SUDO_PTS	SUDO_PTS	0.014699999628646765	-1.8326826762230255	-16.75210682404984	8.173186419403227e+69
57982.550418519444	GFC_y	2.576455565405224e-17	4.481364021420176e+53	SUDO_PTS	SUDO_PTS	0.021899999446759466	-1.6595558961310832	-16.588977343156614	7.553911241610897e+69
57982.55801851925	GFC_y	3.386135164171192e-17	5.445708352645928e+53	SUDO_PTS	SUDO_PTS	0.029499999254767317	-1.5301779949930385	-16.47029571017212	6.984485181315714e+69
57982.56601851905	GFC_y	4.1928902540980127e-17	6.241477536933158e+53	SUDO_PTS	SUDO_PTS	0.03749999905267032	-1.4259687432434827	-16.377486504794952	6.4648466545573615e+69
57982.574518518835	GFC_y	5.000236355407663e-17	6.8950956858175975e+53	SUDO_PTS	SUDO_PTS	0.04599999883794226	-1.3372421792896274	-16.30100946657933	5.988720923775936e+69
57982.583618518605	GFC_y	5.809496996694201e-17	7.4268762607281025e+53	SUDO_PTS	SUDO_PTS	0.05509999860805692	-1.2588484121194166	-16.235861468473164	5.552032094427213e+69
57982.59331851836	GFC_y	6.61183265149213e-17	7.849661695094847e+53	SUDO_PTS	SUDO_PTS	0.06479999836301431	-1.1884250051006082	-16.179678147153414	5.156005813634249e+69
57982.60391851809	GFC_y	7.420767624257269e-17	8.186373128425136e+53	SUDO_PTS	SUDO_PTS	0.07539999809523579	-1.1226286651014274	-16.129551167802386	4.791009308598233e+69
57982.6155185178	GFC_y	8.229284662600822e-17	8.447103956224101e+53	SUDO_PTS	SUDO_PTS	0.08699999780219514	-1.060480758352583	-16.08463791455532	4.4578973588353606e+69
57982.628318517476	GFC_y	9.034460659900726e-17	8.643858799115347e+53	SUDO_PTS	SUDO_PTS	0.09979999747883994	-1.0008694696838305	-16.044097768882846	4.155179063946374e+69
57982.64271851711	GFC_y	9.83968713748689e-17	8.7888403716695e+53	SUDO_PTS	SUDO_PTS	0.11419999711506534	-0.9423339070613723	-16.007018710168573	3.87913235696583e+69
57982.65931851669	GFC_y	1.0648127109988465e-16	8.892103559454226e+53	SUDO_PTS	SUDO_PTS	0.13079999669571407	-0.8833922669829531	-15.972726773194811	3.626733103853244e+69
57982.6789185162	GFC_y	1.1456325676913505e-16	8.961671468231196e+53	SUDO_PTS	SUDO_PTS	0.15039999620057642	-0.8227521747155782	-15.940954648870369	3.3972536893968447e+69
57982.70291851559	GFC_y	1.226076530749027e-16	9.005115265014154e+53	SUDO_PTS	SUDO_PTS	0.17439999559428543	-0.7584535303746531	-15.911482420645772	3.1897453139480455e+69
57982.73461851479	GFC_y	1.306806620972796e-16	9.029569998643027e+53	SUDO_PTS	SUDO_PTS	0.20609999479347607	-0.6859220191919887	-15.88378867382572	3.0008207499366913e+69
57982.78241851358	GFC_y	1.3875138886367067e-16	9.040774438262375e+53	SUDO_PTS	SUDO_PTS	0.2538999935859465	-0.5953373100974794	-15.857762661013867	2.8297795667668162e+69
57982.52961851997	GFC_z	2.304615475462574e-18	2.3046154754625743e-19	SUDO_PTS	SUDO_PTS	0.0010999999722116627	-2.9586073258129764	-17.63740152615966	0.04342944819032518
57982.535318519826	GFC_z	1.3982044390208677e-17	1.3982044390208678e-18	SUDO_PTS	SUDO_PTS	0.006799999828217551	-2.167491098264965	-16.85442932340626	0.04342944819032518
57982.54121851968	GFC_z	2.560568270539213e-17	2.560568270539213e-18	SUDO_PTS	SUDO_PTS	0.012699999679171015	-1.8961962900152447	-16.591663640402444	0.04342944819032518
57982.54731851952	GFC_z	3.713425082085744e-17	3.7134250820857434e-18	SUDO_PTS	SUDO_PTS	0.018799999525072053	-1.7258421617075217	-16.43022533350009	0.043429448190325175
57982.55371851936	GFC_z	4.8704163385874025e-17	4.870416338587403e-18	SUDO_PTS	SUDO_PTS	0.025199999363394454	-1.5985994701896575	-16.31243391233308	0.043429448190325175
57982.56051851919	GFC_z	6.041932548307839e-17	6.041932548307839e-18	SUDO_PTS	SUDO_PTS	0.031999999191612005	-1.4948500326512957	-16.218824127467443	0.04342944819032518
57982.56761851901	GFC_z	7.203122007568715e-17	7.203122007568715e-18	SUDO_PTS	SUDO_PTS	0.03909999901225092	-1.4078232535753348	-16.142479229015468	0.04342944819032518
57982.57511851882	GFC_z	8.362865807146686e-17	8.362865807146686e-18	SUDO_PTS	SUDO_PTS	0.04659999882278498	-1.3316140942812014	-16.07764487196844	0.043429448190325175
57982.58311851862	GFC_z	9.526685781893745e-17	9.526685781893746e-18	SUDO_PTS	SUDO_PTS	0.054599998620687984	-1.2628073682664642	-16.021058158855055	0.04342944819032518
57982.5916185184	GFC_z	1.0683541836496986e-16	1.0683541836496988e-17	SUDO_PTS	SUDO_PTS	0.06309999840595992	-1.1999706517270672	-15.971284744962503	0.04342944819032519
57982.60081851817	GFC_z	1.1847176995219792e-16	1.1847176995219793e-17	SUDO_PTS	SUDO_PTS	0.07229999817354837	-1.1408617136766708	-15.926385123194585	0.04342944819032518
57982.61071851792	GFC_z	1.3001768340704123e-16	1.3001768340704124e-17	SUDO_PTS	SUDO_PTS	0.08219999792345334	-1.0851281934311512	-15.88599757627917	0.04342944819032518
57982.621618517645	GFC_z	1.4162805525129174e-16	1.4162805525129176e-17	SUDO_PTS	SUDO_PTS	0.09309999764809618	-1.031050329989859	-15.848850708270895	0.04342944819032518
57982.63371851734	GFC_z	1.532557471894025e-16	1.5325574718940254e-17	SUDO_PTS	SUDO_PTS	0.10519999734242447	-0.9779842711534813	-15.814583230180881	0.04342944819032519
57982.647318516996	GFC_z	1.6486698092824398e-16	1.6486698092824398e-17	SUDO_PTS	SUDO_PTS	0.11879999699885957	-0.9251835703260268	-15.782866314862163	0.04342944819032518
57982.6629185166	GFC_z	1.7646398749464882e-16	1.7646398749464883e-17	SUDO_PTS	SUDO_PTS	0.13439999660477042	-0.8716007422533951	-15.753343911398776	0.04342944819032518
57982.681418516135	GFC_z	1.881016086102434e-16	1.881016086102434e-17	SUDO_PTS	SUDO_PTS	0.1528999961374211	-0.8155925255588814	-15.725607490427478	0.04342944819032518
57982.70411851556	GFC_z	1.9968155635823636e-16	1.996815563582364e-17	SUDO_PTS	SUDO_PTS	0.17559999556397088	-0.7554754994011178	-15.699662047005884	0.04342944819032518
57982.7343185148	GFC_z	2.1130018603090364e-16	2.1130018603090366e-17	SUDO_PTS	SUDO_PTS	0.2057999948010547	-0.6865546405447874	-15.675100120590093	0.04342944819032518
57982.53011851996	HSC_z	1.8389968001988175e-18	1.8389968001988172e-19	SUDO_PTS	SUDO_PTS	0.0015999999595806003	-2.7958800283152767	-17.735419026421088	0.043429448190325175
57982.53831851975	HSC_z	1.114405746827464e-17	1.114405746827464e-18	SUDO_PTS	SUDO_PTS	0.009799999752431177	-2.0087739352787066	-16.952956656985187	0.04342944819032518
57982.54661851954	HSC_z	2.0339958170741353e-17	2.0339958170741356e-18	SUDO_PTS	SUDO_PTS	0.01809999954275554	-1.742321436102017	-16.691649944541833	0.04342944819032518
57982.55521851932	HSC_z	2.960707776955828e-17	2.9607077769558282e-18	SUDO_PTS	SUDO_PTS	0.026699999325501267	-1.5734887496066263	-16.52860445553486	0.04342944819032518
57982.5641185191	HSC_z	3.889358562541503e-17	3.889358562541503e-18	SUDO_PTS	SUDO_PTS	0.035599999100668356	-1.4485500129983264	-16.41012201711098	0.04342944819032518
57982.573318518866	HSC_z	4.8145675279567707e-17	4.814567527956771e-18	SUDO_PTS	SUDO_PTS	0.04479999886825681	-1.3487219969730575	-16.317442717606372	0.04342944819032518
57982.58291851862	HSC_z	5.740285455233775e-17	5.7402854552337756e-18	SUDO_PTS	SUDO_PTS	0.05439999862574041	-1.2644011112730216	-16.241066510293603	0.04342944819032518
57982.59301851837	HSC_z	6.668625898602763e-17	6.668625898602763e-18	SUDO_PTS	SUDO_PTS	0.06449999837059295	-1.1904402963359337	-16.175963645263845	0.04342944819032518
57982.6036185181	HSC_z	7.591217401846092e-17	7.591217401846091e-18	SUDO_PTS	SUDO_PTS	0.07509999810281442	-1.1243600739670332	-16.119688570809775	0.043429448190325175
